$	dollar[s] ドル記号(通貨単位)
unconditional	無条件の,絶対な
unconditioned	無条件の,絶対の / (心理学で)生来の,本来の
unconnected	連結されていない,離れた,別々の / 関係のない,関連のない
unconquerable	征服(克服)できない
unconquerably	征服(克服)できないほどに
unconscionable	良心のない,恥ずべき(shameful) / 不当な,不合理な,法外な
unconscionably	非良心的に,不謹慎にも / 不当に,不合理に
unconscious	(一時的に)『意識を失った』,人事不省の / 《補語にのみ用いて》(…を)『気付いていない』,知らない《+of+名(doing)》 / (動作などが)無意識の,何気なしの / (精神分析で)無意識
unconsciously	意識を失って;知らずに,無意識に,何気なく
unconsciousness	無意識;意識不明
unconsidered	考慮を欠いた / 軽視された(disregarded)
unconstitutional	憲法違反の;(特に合衆国憲法に)違憲の
uncontrollable	抑制できない,手に負えない
uncontrollably	抑制できないほど,手に負えないほど
uncontrolled	抑制されない,抑えられない,自由な
unconventional	しきたりにとらわれない,型にはまらない
uncork	…‘の'コルク(せん)を抜く
uncountable	数えられない;無数の(numberless) / 不可算名詞(おもに抽象名詞・物質名詞で不定冠詞(a, an)をつけることなく,また複数形にならない)
uncounted	数えてない / 多数の,無数の(innumerable)
uncouple	〈連結したもの〉‘を'離す
uncouth	(人・行為が)洗練されてない,粗野な / 無器用な,ぎごちない
uncover	…‘の'『おおい』(ふた)『を取る』 / 〈秘密など〉‘を'『明らかにする』,暴露する / 《古》(敬意を表して)〈頭〉‘から'帽子を取る / (敬意を表して)脱帽する
uncovered	おおい(ふた)のない,むき出しの
uncritical	批評(批判)的でない,批判能力のない;無批判な
uncross	〈両腕・両足〉の交差を解く
uncrowned	[まだ]王冠を戴かない(いただかない) / 王位につかずに実権を持つ
uncrushable	(布地など)しわのよらない / 《おもに文》(意志が)くじけない,不屈な
UNCTAD	United Nations Conference of Trade and Development 国連貿易開発会議
unction	(聖別の印として)油を塗ること,塗油式 / (塗油の儀式に用いる)聖油 / 和らげる物 / (話をするときなどの)うわべだけの感激(熱心)
unctuous	油(軟膏)のような,つるつる(すべすべ)した / うわべだけ感激した(熱心)な,お世辞たっぷりの
uncut	(一般に)切られていない,刈られていない / (小説・映画フィルムなど)未削除の / (ダイヤなど)原石のままの,未カットの
undated	日づけのない
undaunted	恐れない,ひるまない
undeceive	…‘の'迷いをさます,誤りを悟らせる
undecided	(人が)決心のついていない;(…について)決めていない《+about+名(wh-節・句)》 / (事が)未決定の
undeclared	(課税対象物品が)税関未申告の / (戦争など)宣戦布告なしに
undefeated	不敗の
undemonstrative	感情などを表に出さない,慎み深い;内気な
undeniable	否定できない,明白な
undeniably	否定できないほどに,疑いなく,明らかに
under	《下方の場所・位置》『…の下に』,に覆われて / 《内部の位置》『…の内側に』,の下に / (重荷・苦痛など)『を負って』,に圧迫されて / (支配・保護・影響など)『…を受けて』,のもとで,の状態で / 《受動状態の継続》『…中』 / (分類項目)『の中に』,に属して / (地位・数量などが)『…に劣る』,より下の / (行動などの基準)に従って,基づいて / 『下へ』,下に / 下位に,抑圧されて,従属して / 下の,下部の;下位の,劣った
under-the-counter	不法に取り引きされる / 不法な,非合法の
underachieve	(特に学業で)水準以下の成績をとる
underact	…‘を'控え目(不十分)に演技をする / 控え目(不十分)に演じる
underage	規定年齢に達しない;未成年の
underarm	腋(わき)の下 / 腋の下の;(野球などの)下手投げの / 下手投げで
underbelly	(動物の体の)下腹部 / 攻撃しやすい場所,弱点,急所
underbid	〈競争相手〉‘より'低い値をつける / (ブリッジなどで)〈持ち札〉‘の'実力より低くかける
underbrush	(林などの)下ばえ
undercarriage	(自動車などの)車台 / (飛行機の)着陸用装置(車輪)
undercharge	〈買い手〉‘に'代価以下に請求する;〈商品〉‘に'代価以下の値をつける / 〈銃砲〉‘に'不十分に装薬する / 代価以下の請求 / 不十分な装薬
underclassman	(大学・高校の)下級生
underclothes	下着,肌着(underwear)
underclothing	=underclothes
undercoat	(動物の長い毛の下の短い)下毛 / (仕上げ塗り前の)下塗り
undercook	…‘を'不十分に調理する
undercover	秘密の,秘密に行う(行われた)
undercurrent	(水流・気流の)下層流,底流 / 《an ~》(思想・感情などの)暗流,底流
undercut	〈競争者〉‘より'も安く売る(働く) / (彫刻などで)…‘の'下を切り取る(くりぬく) / 〈U〉下を切り取る(くりぬく)こと / 〈C〉《米》(切り倒す木の下方につける)刻み目 / 〈U〉《英》牛の腰部の上肉
underdeveloped	発育不十分の / 開発不十分の
underdog	負け犬,敗者,敗残者 / 社会的(政治的)不正の犠牲者
underdone	(食べ物が)生煮えの;(肉が)生焼けの
underdrawers	(特に少し長目の)ズボン下,ズロース,パンツ
underdress	〈人〉‘に'場所(状況)にそぐわない服装をさせる　略式(簡単)すぎる服装をする　くだけすぎた服装をする
underemployed	不完全就業の(自分のもっている能力・技術以下の職業についていることをいう)・〈人が〉パートタイムの; 不完全雇用[就業]の・能力以下の仕事に従事して(いる) ・潜在失業の・(機械・設備など)十分活用されていない・仕事がつまっていない
underestimate	〈価値・質・量・能力など〉‘を'実際より低く評価する(見積もる) / 過小評価
underexpose	〈写真のフィルム〉‘を'露出不足にする
underexposure	(写真)露出不足
underfelt	床とカーペットの間に敷くフェルト地
underfloor	(特に暖房装置が)床面下施工の
underfoot	足の下に,地面に / 《米》じゃまになって
undergarment	下着,肌着
undergird	…‘に'しっかりした基礎を与える,‘を'強化する
undergo	〈変化・検査など〉‘を'『受ける』,経験する(experience) / 〈困難など〉‘に'耐える,あう
undergone	undergo の過去分詞
undergraduate	大学生,学部在学生 / 学部学生の
underground	『地下の』 / 《比喩的に》『地下の』,秘密の,隠れた / (運動・映画・出版物などについて)前衛的(実験的)な,アングラの / 『地下に(で)』 / 秘密のうちに,隠れて / 〈C〉(政府や占領軍に反抗する)『地下秘密組織』 / 《英》《the ~》『地下鉄』
undergrowth	(林などの)下ばえ
underhand	(野球などで)下手投げの / 秘密の,ずるい / 下手投げで / こそこそとずるく,陰険に
underhanded	=underhand
underhung	(下あごが)上あごよりも突き出た　(建築)下受け式の
underlay	(品質の維持と保温のためにカーペットの下に敷く)下敷き
underlie	…‘の'下に横たわる,下にある / 〈行動・理論など〉‘の'基礎となる,根拠となる
underline	〈語句〉‘に'『下線を引く』 / …‘を'強調する / (強調または斜体字を示す)下線,アンダーライン
underling	部下,下役,手下
underlying	下にある,下に横たわる / 基礎的な,基本的な
undermanned	(船が)通常の人員を欠いている / (職場などに)人手が足りない,要員不足の
undermentioned	下記の,後述の
undermine	…‘の'下を掘る,下に穴(トンネル)を掘る / (浸食作用で)…‘の'土台を壊す(削る) / 〈健康・名声など〉‘を'知らないうちに(徐々に)害する,弱める
undermost	最下位の,最低の / 最下位で,最低で
underneath	…『の下に(を)』 / …の見かけのもとで / 『下に』,下の方に / 底,下側;最下部
undernourish	…‘に'十分の栄養を与えない,‘を'栄養不足にする
undernourished	栄養不足(不良)の
undernourishment	栄養不足(不良)
underpants	パンツ,ズボン下
underpart	(物の)下部,下側;(動物の)腹部
underpass	(鉄道・橋・道路の下を通る)地下道,ガード下通路
underpay	〈労働者など〉‘に'賃金を十分に支払わない,不当に安い給料を払う
underpin	(支柱・けたなどで)…‘を'下から支える,‘に'基礎(根拠)を与える《+名+with(by)+名》
underpinning	(壁や建造物などを)下から支えるもの(石,コンクリート,柱など);土台,基礎 / 支持,支援;支援物質
underplay	〈役〉‘を'押えて演じる;〈場面など〉‘を'控え目に表現する / 控え目に演技する
underpopulated	(土地の)人口が少ない,人口不足の
underprivileged	(社会的・経済的・肉体的に)恵まれない / 《the underprivileged》《集合的に》《複数扱い》恵まれない人々
underproduction	低生産(通常以下また需要より少ない生産)
underproof	(酒が)標準強度以下の(標準強度の酒(米で50%,英で57%)よりもアルコール含有分の少ない)
underquote	(特定の競争相手よりも)…‘に'安い値をつける,‘を'安く見積もる(underbid)
underrate	〈人・能力・物事〉‘を'過小評価する,見くびる
underscore	=underline
undersea	海中の / =underseas
underseas	海中に(を)
undersecretary	次官
undersell	〈競争相手〉より安く売る;〈品物〉‘を'投げ売りする
undersexed	性にあまり関心を示さない,性欲の弱い
undershirt	《米》肌着,シャツ(《英》vest)
undershoot	〈飛行機が〉〈滑走路〉‘の'手前で着陸する / 〈弾丸・矢などが〉〈目標・的〉‘まで'達しない
undershorts	(男子・子供用の)パンツ
undershot	undershoot の過去・過去分詞 / (水車が)下を流れる水で回転する / 下あごが上あごより突き出た
underside	下側,下面,底面
undersigned	(書類の)末尾に署名した(された) / 署名人,署名者
undersized	普通より小さい,小型の
underskirt	アンダースカート(スカートの下にはくもの;ペチコートなど)
underslung	(自動車の車台などが)懸下式の,重心の低い
understaffed	職員(人員)の不足した
understand	〈事〉‘を'『理解する』,‘の'意味をつかむ / 〈人〉‘を'理解する,‘の'気持ち(立場)が分かる / 〈物事〉‘に'『精通している』,‘を'よく知っている / …‘と'推測する,思う:《understand+名+to do》…が…すると思う / 《understand+that 節》…であると聞いている / 『理解する』,意味をつかむ(が分かる) / 聞いている / 人の立場を理解する
understandable	分かりやすい,理解できる
understandably	理解できるように,むりもない話だが
understanding	〈U〉(…の)『理解』,意味をつかむこと《+of+名》 / 〈U〉《しばしば an~》(…に)『精通』,熟達《+of+名》 / 〈U〉『意見』,結論 / 〈U〉《時に an~》(相手の立場の)共感;〈C〉《単数形で》同意,一致 / 〈U〉『理解力』,知力,知性(intelligence) / 相手の立場を理解している,思いやりのある,話せる
understate	…‘を'控え目(内輪)に言う
understatement	控え目(内輪)に言うこと;〈C〉その言葉・控えめな言葉[表現] 《誇張表現の反対で，控えめに表現してかえって強い印象を与える表現方法》
understood	understandの過去・過去分詞 / 了承された,合意された / (文中で)省略されているがそれと分かる(例えば He is older than my father [is].の文の[is]のこと);言外の,暗黙の
understudy	代役の俳優 / 〈役〉‘を'代役としてけいこする / 〈別の俳優〉‘の'代役を演ずる
undersurface	下面,底面 / 水面下の,水中の
undertake	〈仕事など〉‘に'『着手する』 / 〈仕事など〉‘を'『引き受ける』 / 《undertake+that 節》…であることを保証(断言)する
undertaker	(また《米》mortician)葬儀屋 / (1とアクセントの違いに注意)引受人,請負人
undertaking	〈C〉『事業』,企業,仕事 / 〈C〉約束,保証 / 〈U〉葬儀屋業
underthings	女性用下着(underclothes)
undertone	低音;小声 / 抑えた(隠された)感情 / 柔らかな(薄い)色,かすかな基調色
undertook	undertake の過去
undertow	引き波,海面下の逆流
undervalue	…‘を'実際の価値よりも低く評価する / …‘を'軽視する,見くびる
underwaist	アンダーウエスト(他のブラウスの下に着るブラウス)　下着を留めるブラウス
underwater	水面下の,水中の / 水面下に(を),水中で(を)
underwear	下着,肌着
underweight	重量不足の / 標準以下の重量
underwent	undergoの過去
underworld	暗黒街,悪の世界 / 《しばしば U-》(ギリシア,ローマの神話の)あの世,冥土
underwrite	…‘の'費用負担を承諾する / 〈保険証書〉‘に'署名する / …‘に'保険をつける / 《おもに過去分詞形で》…‘の'下に書く;〈文書など〉‘に'署名する / 〈株式・債券など〉‘を'引き受ける / 保険業を営む
underwriter	保険業者 / 証巻引受業者
undeserved	(賞罰・批判などを)受けるに値しない,不当な
undesirable	好ましくない,望ましくない / 好ましくない人
undetected	見つけられない,発見されない
undeveloped	(肉体・精神が)未発達の / (土地などが)未開発の,未発展の
undies	(特に婦人用の)下着
undigested	消化されない
undignified	威厳のない,品位のない
undischarged	(船の積み荷が)荷揚げされていない / (銃が)未発射の / (勘定・借金が)未払いの / (法的に)返済不履行の
undisciplined	訓練を受けてない;規律を守らない
undiscovered	発見されていない,未知の
undisguised	あからさまの,むき出しの
undisputed	異論(疑問)の余地のない
undistinguished	区別されない;有名でない,平凡な
undisturbed	乱されない,じゃまされない;静かな
undivided	(比較変化なし)分裂(分割)していない,欠けたところのない
undo	〈結び目など〉‘を'『開く』,ゆるめる,〈ボタンなど〉‘を'はずす / 〈包みなど〉‘を'『開ける』;〈かんぬきなど〉‘を'はずす / 〈一度やったこと〉‘を'『元どおりにする』,取り消す / 《文》《しばしば受動態で》…‘を'破滅させる,だめにしてしまう
undoing	(一度したことを)元どおりにすること,取り消し / 破滅,没落 / 破滅の原因
undomesticated	(動物が)飼いならせない,人になれない / (人が)家庭的でない
undone	undo の過去分詞 / 解いた,ほどいた,ゆるめた / してない,未完の
undoubted	疑いのない,確かな
undoubtedly	疑いなく,確かに
undreamed-of	夢にも思わない
undress	…‘を'着物を脱がせる / 着物を脱ぐ / (礼服に対して)平服,ふだん着 / はだか
undressed	着物を脱いだ,裸[同然]の
undue	過度の,はなはだしい / 不当な,不法な
undulant	波打つ,波のように動く,波状の
undulate	〈麦畑などが〉波のようにうねる / 〈地面が〉起伏する / …‘を'波立たせる,うねらせる
undulation	〈U〉(水面などの)波動,うねり;(土地の)起伏 / 〈C〉連続する波形(起伏)の一つ
unduly	過度に,はなはだしく;不当に
undying	不死の,永遠の,終りのない
unearned	働いて得たのではない / (賞罰などが)受けるに値しない,不相応な / まだ得ていない,未収の
unearth	…‘を'発掘する,掘り出す / (調査などで)〈事実・証拠など〉‘を'明るみに出す,あばく,明らかにする
unearthly	この世のものとは思われない,超自然的な / 無気味な,怪しい / 《話》途方もない
unease	不安,懸念
uneasily	不安のうちに,心配して;窮屈そうに
uneasiness	不安,心配;窮屈,堅苦しさ
uneasy	(人が)『心の落ち着かない』,不安な,心配な / (物事が)『落ち着きのない』,心地よくない,窮屈な / 『ぎごちない』,不自然な
uneconomic	むだづかいをする,浪費の / 不経済な
uneducated	無教育の,無学の
unemployable	(年齢・欠陥などで)雇えない,雇用できない
unemployed	仕事のない,失業した / 利用してない,遊ばせてある / 失業者
unemployment	失業,失職 / 失業者[数]
unending	果てしない,永遠の
unenlightened	あることによく通じていない / 無学の,無知の / 偏見をもつ
unenviable	あまりうらやましくない,あまり欲しくない
unequal	(量・質・価値などが)等しくない / つり合わない,かたよった,不公平な / (力・能力などが)不適当な;(…に)適さない,耐えられない《+to+名》 / 不規則的な,均一でない
unequaled, unequalled	匹敵するものがない,無比の
unequivocal	あいまいでない,明確な
unerring	誤りのない,的をはずれない,確実な
UNESCO	ユネスコ,国際連合教育・科学・文化機構
unessential	本質的(重要)でない / 本質的(重要)でないもの
uneven	まっすぐでない,平行でない / (表面などが)平らでない,なめらかでない,でこぼこのある / (性質・色・形などが)一様でない,むらのある / つり合わない,かたよった,不公平な / 奇数の(odd)
uneventful	波乱のない,平穏無事な
unexampled	前例のない,空前の
unexceptionable	非の打ちどころがない,申し分のない
unexceptionably	申し分なく
unexceptional	例外でない,通例の / 例外を認めない / 《unexceptionableと混同して》非の打ちどころがない
unexpected	『予期しない』,思いがけない
unexpectedly	『思いがけなく』
unexpectedness	思いがけないこと,不意,意外
unexplained	説明されない
unexplored	探検されない,前人未踏の;未調査の
unfailing	尽きることのない,絶えない / 信頼できる / 不変の,一定の
unfair	不公平な,不当な,かたよった / (商取引などが)公正でない,不正の
unfaithful	不誠実な,誠意のない / 不貞の;(…に)不貞な《+to+名》 / 不正確な
unfaltering	とまらない,とどまることを知らない / ちゅうちょしない
unfamiliar	『よく知らない』,未知の見慣ない,聞き慣ない / 《補語にのみ用いて》(物事を)よく知らない,未知の《+with+名》
unfasten	〈結んだもの・締めたもの〉‘を'解く,緩める;開ける / 〈自〉 / 〈結んだものなどが〉解ける,緩む
unfathomable	深さが測れない,底なしの / 不可解な,はかりしれない
unfathomed	測り知れない,深遠な
unfavorable, unfavourable	不利な,都合の悪い,逆の / (批評などが)好意的でない,批判的な / (要求などに)否定的な
unfavorably, unfavourably	不利に;好意的でなく
unfeeling	無感覚の / 無情な,冷酷な(cruel)
unfeelingly	冷淡に,無情に;容赦せずに
unfeigned	偽らない,真実の(genuine)
unfettered	束縛されない,苦労のない;自由な,(責任などから)解放された
unfinished	未完成の / (塗装などの)仕上げをしていない,荒削りの
unfit	《補語にのみ用いて》(物事が)『適当でない』,ふさわしくない / 適任でない,不適格な / (人が)不適当な,欠陥がある / (…に対して)〈人〉‘を'不適当(不適格)にする《+名〈人〉+for+名》
unfix	…‘を'はずす,緩める / 〈心・気持ち〉‘を'ぐらつかせる
unflagging	衰えない,疲れを知らない
unflappable	あわててばたばたしない,冷静であわてない
unflappably	ばたばたせずに,あわてずに
unfledged	(ひな鳥が)まだ羽がはえそろっていない / 経験不足の,未熟な
unflinching	ひるまない,しりごみしない;断固たる
unfold	〈折りたたまれたもの〉‘を'『広げる』,開く / 〈計画など〉‘を'しだいに明らかにする(知らせていく) / 〈花びらなどが〉『広がる』,開く / 〈物事が〉(しだいに)はっきりしてくる,分かってくる;展開する
unforeseen	予知しない,思いがけない(unexpected)
unforgettable	忘れられない,いつまでも記憶に残る
unforgettably	忘れられないで,いつまでも記憶に残って
unforgivable	許せない,勘弁できない
unformed	まだ形をなさない,定形のない / 未発達の,未熟の
unfortunate	『不運な』,不幸な / 不適当な,不適切な / 不運な人,不幸な人
unfortunately	『不幸にも』,運悪く,あいにく
unfounded	根拠のない,事実無根の(groundless)
unfrequented	人がほとんど(全然)いない,人通りの少ない,人けのとだえた
unfriendly	友情のない,不親切な / 都合の悪い,不利な
unfrock	(修道士・司祭などから)〈聖位・職権など〉‘を'剥奪する《+名+from+名》
unfurl	〈巻いた物〉‘を'広げる,開く / 〈巻いた物が〉広がる,開く
unfurnished	家具の備えてない
ungainliness	(動作・態度などの)ぶ格好さ,見苦しさ
ungainly	(動作が)ぶかっこうな,ぶざまな
ungenerous	物惜しみをする,けちけちする / 不当な,不正な
unglued	取り乱した;狂気の
ungodly	神を恐れない,不信心の・《話》ひどい,無茶な・(時刻が)とんでもない・罪深い
ungovernable	統御できない,抑えきれない
ungracious	無作法な,粗野な
ungrammatical	文法的に正しくない
ungrateful	ありがたく思わない,恩知らずの / いやな,不快な
ungrudging	物惜しみしない,快く与える,心からの
ungrudgingly	気前よく,けちけちしないで,心から
unguarded	油断した,不注意の,うっかりした / 保護されていない,無防備の
unguent	軟こう;こう薬
unguentary	軟膏の(に関する)
ungulate	ひづめのある,有蹄の / 有蹄類
unhallowed	聖別(祝別)されない,あがめられない / 《文》悪に染まった,邪悪な
unhand	…‘から'手を放す
unhappily	《文全体を修飾して》不運にも,運悪く,あいにく / 不幸に,みじめに
unhappiness	不幸,不運
unhappy	『悲しい』,気の滅入る / (物事が)不幸な,不運な,みじめな / (物事が)適切でない,適当でない,まずい
unharmed	傷害を受けていない,無事な(safe)
unharness	〈馬・ロバなど〉‘の'馬具を取りはずす
unhealthiness	不健康,不健全
unhealthy	(人が)健康でない,病弱の;健康でないことを示す / (場所・気候などが)健康によくない / 道徳上よくない,不健全な
unheard	聞こえない / 聞いてもらえない,弁明を許されない
unheard-of	聞いたことがない,未知の / 前代未聞の,途方もない
unheeded	注意されない,顧みられない,無視された
unhinge	〈ドアなど〉‘の'ちょうつがいをはずす / 〈人・心〉‘を'乱す,狂わせる
unhitch	〈馬など〉‘を'解き放す;〈連結してあるもの〉‘を'はずす
unholiness	不浄,不道徳,汚れ,不信心
unholy	神聖でない,不浄の / 罪深い,不道徳な / 《話》ひどい,とんでもない
unhook	…‘の'ホック(留め金)をはずす,‘を'かぎからはずす / 〈ホックやかぎが〉はずれる
unhoped-for	思いがけない,予期しない,意外な
unhorse	〈人〉‘を'くら(馬)から落とす,落馬させる
unhurt	けが(傷)のない
unicameral	(議会が)一院制の
UNICEF	ユニセフ,国際連合国際児童緊急基金(United Nations International Children's Emergency Fund)
unicellular	単細胞の
unicorn	一角獣(想像上の動物) / (紋章として使われるライオンの尾をした)一角獣
unicycle	(スポーツまたは曲芸用の)一輪車
unidentified	未確認の,正体不明の
unidirectional	一方だけに作用する,一定方向の
unification	(…の)統一,合一《+of+名》
uniform	(標準・状態などが)『不変の』,一定の / (形・型などが)『同一の』,一様な,画一的な / (特に学校・警察・軍隊などの)『制服,』ユニフォーム / …‘に'制服を貸与する(着せる) / …‘を'同一(一様)にする
uniformed	制服を着た,制服姿の
uniformity	〈U〉一定,不変;〈C〉一定の物 / 〈U〉同一性,画一性;〈C〉画一的な物
uniformly	変わらずに,一様に,一律に,むらなく
unify	…‘を'一つにする,統一する,結束させる(unite) / …‘を'同一(一様)にする
unilateral	一方の,片側だけの
unilateral disarmament	一方的軍備廃棄,一方的軍縮
unimaginable	想像できない,思いもつかない
unimaginative	想像力のない,独創性に欠ける
unimpeachable	非難(疑問)の余地がない,申し分のない
unimpeachably	申し分なく,疑わしくなく
unimportant	『重要でない』,取るに足りない
uninformed	情報が不十分な,知らされていない・知識のない・十分な知識[情報]をもたない(でする) ・〈人が〉知らされていない・無知の
uninhabitable	住居に適さない,住めない
uninhabited	人の住まない,無人の
uninhibited	(特に言動が)抑制されない,拘束のない,おおっぴらの
unintelligent	理解力(知性)に欠ける,愚かな
unintelligible	(話し方・文章などが)理解できない,訳の分からない
unintelligibly	分かりにくく,理解しがたく
unintentional	故意でない,わざとしたのではない
unintentionally	わざとでなく,無意識に
uninterested	無関心な;(…に)興味をいだかない《+in+名》
uninterrupted	とぎれない,連続した
uninvited	招かれていない;差し出がましい
union	〈U〉(…の,の間の)『結合』,合同,合併;調和,一致《+of(between)+名》 / 〈C〉『結合したもの』,結合体,統一組織 / 《the U-》アメリカ合衆国;(南北戦争時に)連邦政府側についた北部諸州 / 《the U-》英連合王国(1706年イングランドとスコットランドが合併) / 〈C〉『労働組合』,同盟,ユニオン / 〈C〉〈U〉結婚[生活] / 〈C〉連合旗章(米国国旗の白星;英国国旗の3本十字の三国連合旗章など) / 〈C〉(機械の部品をつなぐ)接合管
Union Jack	ユニオンジャック,英国国旗
Union of Soviet Socialist Republics	ソビエト社会主義共和国連邦(ソビエト連邦(the Soviet Union)の公式名;《略》U.S.S.R.,USSR)
union shop	ユニオンショップ(全従業員が労働組合に加入する制度の企業体)
unionism	(特に)労働組合主義 / 《U-》(特に米国南北戦争時の)連邦主義 / 《英》連合主義(大英帝国時代に全属領を中央政府に統合しようとした政策)
unionist	労働組合員,労働組合主義者 / 《U-》《米》(南北戦争のとき南北分離に反対して)連邦主義者 / 《U-》《英》(アイルランド独立に反対した)統一党員
unionize, unionise	…‘を'労働組合に組織する;…‘を'労働組合に加入させる / …‘を'労動組合の規約に従わせる
unique	『ただ一つしかない』,唯一[無二]の / 『比類のない』,無比の,卓絶した / 《話》『珍しい』(rare);独特の,特異な
unisex	(デザイン・スタイルなどが)男女両方の共通の / 男女両用であること
unisexual	(動植物が)単位の,雌雄いずれかの器官しかない
unison	(…との)一致,調和《+with+名》 / ユニゾン,同音;斉唱
unit	《集合的に》『構成単位』;(学習の)『単元』;(全体を構成する)部門,部隊 / (特定用途の)設備[一式],器具[一そろい] / (測定基準としての)『単位』;(…の)単位《+of+名》,(…する)単位《+for doing》 / 正の最小整数(1)
unit pricing	単位価格表示
unit trust	投資信託会社
Unitarian	一神論者;ユニテリアン派の信者
unite	…‘を'『結合させる』,一つにする / (結婚によって)…‘を'結びつける《+名+in+名》 / 〈性質・才能などを〉兼ね備える,あわせ持つ / 結合する
united	一致協力した,協調の / 共同した,提携した,団結した / 連合した,合併した
United Arab Emirates	アラブ首長国連邦
United Arab Republic	アラブ連合共和国(現在のエジプトアラブ共和国(the Arab Republic of Egypt)の旧名;《略》UAR,U.A.R.)
United Kingdom	『イギリス連合王国』(英本国のこと;大ブリテンと北アイルランドとの連国王国;公式名は the United Kingdom of Great Britain and Northern Ireland;《略》UK)
United Nations	『国際連合』(1945年 San Francisco において世界50か国の共同署名により発足した国際的連盟で,かつての国際連盟(the League of Nations)に代わる新たな機関;本部は New York 市にある;《略》UN,U.N.)
United States [of America]	『アメリカ合衆国』,米国
unitize, unitise	…‘を'一つ[の単位]にまとめる,単一体(統一体)にする
unity	〈U〉『単一性,統一性』;〈C〉単一体,統一体 / 〈C〉〈U〉(古典劇構成での)一致 / 〈U〉(…との)『協調』,調和《+with+名》
univ.	universal / university
Univ.	University
univalent	(化学で)一価の
univalve	単殻軟体動物(カタツムリなど)・単殻の
universal	『すべての人々の』,万人共通の;全世界の / 普遍的な,一般的な,全般的な
universal joint	自在(万能)継ぎ手　ユニバーサルジョイント
universal product code	商品包装の上に磁気印刷された製品コード;黒い線の列で表わされ磁気ペンで触れると自動的に計算機に記録される;《略》UPC
universalist	普遍主義者 / 《Universalist》ユニバーサリスト(万人救済説(Universalism)を信じるキリスト教の一派の信者)
universality	普遍性,一般性
universalize, universalise	…‘を'一般化する,普遍化する
universally	いたる所に(で);一般に
universe	《the universe,時に the Universe》『宇宙』(cosmos);森羅万象;[全]人類(humankind) / 〈C〉世界,領域,分野
university	〈C〉『[総合]大学』 / 〈U〉《the university》《集合的に》大学生,大学当局
unjust	『不正な』;不公平な,不当な
unjustly	不正に;不公平に
unkempt	(髪が)くしを入れてない,もじゃもじゃの / (服装・外見などが)だらしがない
unkind	『不親切な』,薄情な / (天候が)荒々しい,きびしい(harsh)
unkindly	不親切に,薄情に / 意地悪く,ひねくれて / 荒々しく,きびしく
unknowing	知らない,気づかない
unknown	『知られていない』,不明の,無名の / 『未確認の』,未発見の,未知の
unlace	〈靴など〉‘の'ひもを緩める,ひもを解く
unlatch	〈戸など〉‘の'掛け金をはずす
unlawful	不法の，非合法的な・違法の
unlearn	〈学んだこと〉‘を'忘れる;〈考え・習慣など〉‘を'捨て去る
unlearned	学問のない;(…に)通じていない《+in+名》 / 教育のない・学んで覚えたのでない; 無学な, 無教育な・学ばないで知っている
unleash	…‘の'皮ひもをはずす / …‘を'[どっと]解き放つ
unleavened	パン種を入れない / 《比喩的に》新たな影響を受けていない;改善されない
unless	『もし…でなければ』,…でないかぎり
unlettered	無学の,無教育の(uneducated) / 読み書きのできない,文盲の(illiterate)
unlike	『…と[は]違って』,と異なって / …に似ていない;…らしくない / 『似ていない』,異なる
unlikelihood	(…が)ありそうもないこと,(…の)見込みのなさ《+of+名(doing)》
unlikeliness	ありそうもないこと,見込みのなさ(unlikelihood)
unlikely	《補語にのみ用いて》『ありそうもない』,考えられない / うまくいきそうもない,見込み(将来性)のない
unlimber	〈大砲〉‘の'前車をはずす / …‘の'使用(行動)の準備をする / 発砲の準備をする / 使用(行動)の準備をする　柔軟でない　しなやかではない　柔軟にする　しなやかにする　行動の準備をする
unlimited	(空間的に)限りない,果てしない(boundless) / 無制限の,無条件の / 過度の,非常な(excessive)
unload	(…から)〈荷・乗客〉‘を'『降ろす』《+名+from+名》 / 〈船・車など〉‘の'積み荷を降ろす / 〈銃・大砲など〉‘から'弾丸を抜く / (また《英》off-load)〈悩みなど〉‘を'口にする;(人)〈悩みなど〉‘を'打ち明ける《+名+to(on)+名〈人〉》 / 《話》〈不用品など〉'を'処分する / 〈船などが〉積み荷を降ろす
unlock	〈戸・箱など〉‘の'錠を開ける / 〈つかんでいた手など〉'を'離す / 〈秘密など〉'を'もらす,打ち明ける / 錠が開く / 拘束が解かれる(緩む)
unlooked-for	《文》意外な,予期しない(unexpected)
unloose	(…から)〈鳥・捕虜など〉'を'離してやる,解放する《+名+from+名》 / 〈つかんだ手など〉'を'緩める,解く
unloosen	…'を'緩める,解く,はずす
unlucky	(人が)『不運な』,つきのない / 《文》(物事が)縁起の悪い,不吉な;あいにくの
unmade	作られていない;(寝床の準備などが)できていない
unman	…‘の'勇気をくじく,…'を'めめしくする
unmanly	男らしくない,ひきょうな / めめしい,柔弱な
unmanned	(船・宇宙船など)乗組員がいない,無人の
unmannerly	無作法な,ぶしつけな / 無作法に,ぶしつけに
unmarked	印(傷跡)のついていない / 注目されていない / 未評価の;未修正の,未添削の
unmarried	未婚の,独身の
unmask	…‘の'仮面(変装)をはぐ / …‘の'真相をあばく / 仮面を取る;正体(真相)を現す
unmatched	無比の,無類の,無敵の
unmeaning	無意味な,くだらない・(顔・表情などが)うつろな
unmeasured	無限の,際限のない
unmentionable	口に出せない;口にするのも恥ずかしい / 下着;ズボン
